"";"A.CP_MNAC.PAID.B1N.S11.AT";"A.CP_MNAC.PAID.B1N.S11.AU";"A.CP_MNAC.PAID.B1N.S11.BE";"A.CP_MNAC.PAID.B1N.S11.BG";"A.CP_MNAC.PAID.B1N.S11.BR";"A.CP_MNAC.PAID.B1N.S11.CA";"A.CP_MNAC.PAID.B1N.S11.CH";"A.CP_MNAC.PAID.B1N.S11.CL";"A.CP_MNAC.PAID.B1N.S11.CN";"A.CP_MNAC.PAID.B1N.S11.CO";"A.CP_MNAC.PAID.B1N.S11.CR";"A.CP_MNAC.PAID.B1N.S11.CY";"A.CP_MNAC.PAID.B1N.S11.CZ";"A.CP_MNAC.PAID.B1N.S11.DE";"A.CP_MNAC.PAID.B1N.S11.DK";"A.CP_MNAC.PAID.B1N.S11.EA19";"A.CP_MNAC.PAID.B1N.S11.EE";"A.CP_MNAC.PAID.B1N.S11.EL";"A.CP_MNAC.PAID.B1N.S11.ES";"A.CP_MNAC.PAID.B1N.S11.EU28";"A.CP_MNAC.PAID.B1N.S11.FI";"A.CP_MNAC.PAID.B1N.S11.FR";"A.CP_MNAC.PAID.B1N.S11.HR";"A.CP_MNAC.PAID.B1N.S11.HU";"A.CP_MNAC.PAID.B1N.S11.IE";"A.CP_MNAC.PAID.B1N.S11.IL";"A.CP_MNAC.PAID.B1N.S11.IS";"A.CP_MNAC.PAID.B1N.S11.IT";"A.CP_MNAC.PAID.B1N.S11.JP";"A.CP_MNAC.PAID.B1N.S11.KR";"A.CP_MNAC.PAID.B1N.S11.LT";"A.CP_MNAC.PAID.B1N.S11.LU";"A.CP_MNAC.PAID.B1N.S11.LV";"A.CP_MNAC.PAID.B1N.S11.MT";"A.CP_MNAC.PAID.B1N.S11.MX";"A.CP_MNAC.PAID.B1N.S11.NL";"A.CP_MNAC.PAID.B1N.S11.NO";"A.CP_MNAC.PAID.B1N.S11.NZ";"A.CP_MNAC.PAID.B1N.S11.PE";"A.CP_MNAC.PAID.B1N.S11.PL";"A.CP_MNAC.PAID.B1N.S11.PT";"A.CP_MNAC.PAID.B1N.S11.RO";"A.CP_MNAC.PAID.B1N.S11.RS";"A.CP_MNAC.PAID.B1N.S11.RU";"A.CP_MNAC.PAID.B1N.S11.SE";"A.CP_MNAC.PAID.B1N.S11.SI";"A.CP_MNAC.PAID.B1N.S11.SK";"A.CP_MNAC.PAID.B1N.S11.TR";"A.CP_MNAC.PAID.B1N.S11.UK";"A.CP_MNAC.PAID.B1N.S11.US";"A.CP_MNAC.PAID.B1N.S11.ZA";"A.CP_MNAC.PAID.B1N.S12.AT";"A.CP_MNAC.PAID.B1N.S12.AU";"A.CP_MNAC.PAID.B1N.S12.BE";"A.CP_MNAC.PAID.B1N.S12.BG";"A.CP_MNAC.PAID.B1N.S12.BR";"A.CP_MNAC.PAID.B1N.S12.CA";"A.CP_MNAC.PAID.B1N.S12.CH";"A.CP_MNAC.PAID.B1N.S12.CL";"A.CP_MNAC.PAID.B1N.S12.CN";"A.CP_MNAC.PAID.B1N.S12.CO";"A.CP_MNAC.PAID.B1N.S12.CR";"A.CP_MNAC.PAID.B1N.S12.CY";"A.CP_MNAC.PAID.B1N.S12.CZ";"A.CP_MNAC.PAID.B1N.S12.DE";"A.CP_MNAC.PAID.B1N.S12.DK";"A.CP_MNAC.PAID.B1N.S12.EA19";"A.CP_MNAC.PAID.B1N.S12.EE";"A.CP_MNAC.PAID.B1N.S12.EL";"A.CP_MNAC.PAID.B1N.S12.ES";"A.CP_MNAC.PAID.B1N.S12.EU28";"A.CP_MNAC.PAID.B1N.S12.FI";"A.CP_MNAC.PAID.B1N.S12.FR";"A.CP_MNAC.PAID.B1N.S12.HR";"A.CP_MNAC.PAID.B1N.S12.HU";"A.CP_MNAC.PAID.B1N.S12.IE";"A.CP_MNAC.PAID.B1N.S12.IL";"A.CP_MNAC.PAID.B1N.S12.IS";"A.CP_MNAC.PAID.B1N.S12.IT";"A.CP_MNAC.PAID.B1N.S12.JP";"A.CP_MNAC.PAID.B1N.S12.KR";"A.CP_MNAC.PAID.B1N.S12.LT";"A.CP_MNAC.PAID.B1N.S12.LU";"A.CP_MNAC.PAID.B1N.S12.LV";"A.CP_MNAC.PAID.B1N.S12.MT";"A.CP_MNAC.PAID.B1N.S12.MX";"A.CP_MNAC.PAID.B1N.S12.NL";"A.CP_MNAC.PAID.B1N.S12.NO";"A.CP_MNAC.PAID.B1N.S12.NZ";"A.CP_MNAC.PAID.B1N.S12.PE";"A.CP_MNAC.PAID.B1N.S12.PL";"A.CP_MNAC.PAID.B1N.S12.PT";"A.CP_MNAC.PAID.B1N.S12.RO";"A.CP_MNAC.PAID.B1N.S12.RS";"A.CP_MNAC.PAID.B1N.S12.RU";"A.CP_MNAC.PAID.B1N.S12.SE";"A.CP_MNAC.PAID.B1N.S12.SI";"A.CP_MNAC.PAID.B1N.S12.SK";"A.CP_MNAC.PAID.B1N.S12.TR";"A.CP_MNAC.PAID.B1N.S12.UK";"A.CP_MNAC.PAID.B1N.S12.US";"A.CP_MNAC.PAID.B1N.S12.ZA";"A.CP_MNAC.PAID.B1N.S13.AT";"A.CP_MNAC.PAID.B1N.S13.AU";"A.CP_MNAC.PAID.B1N.S13.BE";"A.CP_MNAC.PAID.B1N.S13.BG";"A.CP_MNAC.PAID.B1N.S13.BR";"A.CP_MNAC.PAID.B1N.S13.CA";"A.CP_MNAC.PAID.B1N.S13.CH";"A.CP_MNAC.PAID.B1N.S13.CL";"A.CP_MNAC.PAID.B1N.S13.CN";"A.CP_MNAC.PAID.B1N.S13.CO";"A.CP_MNAC.PAID.B1N.S13.CR";"A.CP_MNAC.PAID.B1N.S13.CY";"A.CP_MNAC.PAID.B1N.S13.CZ";"A.CP_MNAC.PAID.B1N.S13.DE";"A.CP_MNAC.PAID.B1N.S13.DK";"A.CP_MNAC.PAID.B1N.S13.EA19";"A.CP_MNAC.PAID.B1N.S13.EE";"A.CP_MNAC.PAID.B1N.S13.EL";"A.CP_MNAC.PAID.B1N.S13.ES";"A.CP_MNAC.PAID.B1N.S13.EU28";"A.CP_MNAC.PAID.B1N.S13.FI";"A.CP_MNAC.PAID.B1N.S13.FR";"A.CP_MNAC.PAID.B1N.S13.HR";"A.CP_MNAC.PAID.B1N.S13.HU";"A.CP_MNAC.PAID.B1N.S13.IE";"A.CP_MNAC.PAID.B1N.S13.IL";"A.CP_MNAC.PAID.B1N.S13.IS";"A.CP_MNAC.PAID.B1N.S13.IT";"A.CP_MNAC.PAID.B1N.S13.JP";"A.CP_MNAC.PAID.B1N.S13.KR";"A.CP_MNAC.PAID.B1N.S13.LT";"A.CP_MNAC.PAID.B1N.S13.LU";"A.CP_MNAC.PAID.B1N.S13.LV";"A.CP_MNAC.PAID.B1N.S13.MT";"A.CP_MNAC.PAID.B1N.S13.MX";"A.CP_MNAC.PAID.B1N.S13.NL";"A.CP_MNAC.PAID.B1N.S13.NO";"A.CP_MNAC.PAID.B1N.S13.NZ";"A.CP_MNAC.PAID.B1N.S13.PE";"A.CP_MNAC.PAID.B1N.S13.PL";"A.CP_MNAC.PAID.B1N.S13.PT";"A.CP_MNAC.PAID.B1N.S13.RO";"A.CP_MNAC.PAID.B1N.S13.RS";"A.CP_MNAC.PAID.B1N.S13.RU";"A.CP_MNAC.PAID.B1N.S13.SE";"A.CP_MNAC.PAID.B1N.S13.SI";"A.CP_MNAC.PAID.B1N.S13.SK";"A.CP_MNAC.PAID.B1N.S13.TR";"A.CP_MNAC.PAID.B1N.S13.UK";"A.CP_MNAC.PAID.B1N.S13.US";"A.CP_MNAC.PAID.B1N.S13.ZA";"A.CP_MNAC.PAID.B1N.S14_S15.AT";"A.CP_MNAC.PAID.B1N.S14_S15.AU";"A.CP_MNAC.PAID.B1N.S14_S15.BE";"A.CP_MNAC.PAID.B1N.S14_S15.BG";"A.CP_MNAC.PAID.B1N.S14_S15.BR";"A.CP_MNAC.PAID.B1N.S14_S15.CA";"A.CP_MNAC.PAID.B1N.S14_S15.CH";"A.CP_MNAC.PAID.B1N.S14_S15.CL";"A.CP_MNAC.PAID.B1N.S14_S15.CN";"A.CP_MNAC.PAID.B1N.S14_S15.CO";"A.CP_MNAC.PAID.B1N.S14_S15.CR";"A.CP_MNAC.PAID.B1N.S14_S15.CY";"A.CP_MNAC.PAID.B1N.S14_S15.CZ";"A.CP_MNAC.PAID.B1N.S14_S15.DE";"A.CP_MNAC.PAID.B1N.S14_S15.DK";"A.CP_MNAC.PAID.B1N.S14_S15.EA19";"A.CP_MNAC.PAID.B1N.S14_S15.EE";"A.CP_MNAC.PAID.B1N.S14_S15.EL";"A.CP_MNAC.PAID.B1N.S14_S15.ES";"A.CP_MNAC.PAID.B1N.S14_S15.EU28";"A.CP_MNAC.PAID.B1N.S14_S15.FI";"A.CP_MNAC.PAID.B1N.S14_S15.FR";"A.CP_MNAC.PAID.B1N.S14_S15.HR";"A.CP_MNAC.PAID.B1N.S14_S15.HU";"A.CP_MNAC.PAID.B1N.S14_S15.IE";"A.CP_MNAC.PAID.B1N.S14_S15.IL";"A.CP_MNAC.PAID.B1N.S14_S15.IS";"A.CP_MNAC.PAID.B1N.S14_S15.IT";"A.CP_MNAC.PAID.B1N.S14_S15.JP";"A.CP_MNAC.PAID.B1N.S14_S15.KR";"A.CP_MNAC.PAID.B1N.S14_S15.LT";"A.CP_MNAC.PAID.B1N.S14_S15.LU";"A.CP_MNAC.PAID.B1N.S14_S15.LV";"A.CP_MNAC.PAID.B1N.S14_S15.MT";"A.CP_MNAC.PAID.B1N.S14_S15.MX";"A.CP_MNAC.PAID.B1N.S14_S15.NL";"A.CP_MNAC.PAID.B1N.S14_S15.NO";"A.CP_MNAC.PAID.B1N.S14_S15.NZ";"A.CP_MNAC.PAID.B1N.S14_S15.PE";"A.CP_MNAC.PAID.B1N.S14_S15.PL";"A.CP_MNAC.PAID.B1N.S14_S15.PT";"A.CP_MNAC.PAID.B1N.S14_S15.RO";"A.CP_MNAC.PAID.B1N.S14_S15.RS";"A.CP_MNAC.PAID.B1N.S14_S15.RU";"A.CP_MNAC.PAID.B1N.S14_S15.SE";"A.CP_MNAC.PAID.B1N.S14_S15.SI";"A.CP_MNAC.PAID.B1N.S14_S15.SK";"A.CP_MNAC.PAID.B1N.S14_S15.TR";"A.CP_MNAC.PAID.B1N.S14_S15.UK";"A.CP_MNAC.PAID.B1N.S14_S15.US";"A.CP_MNAC.PAID.B1N.S14_S15.ZA";"A.CP_MNAC.PAID.B1N.S2.AT";"A.CP_MNAC.PAID.B1N.S2.AU";"A.CP_MNAC.PAID.B1N.S2.BE";"A.CP_MNAC.PAID.B1N.S2.BG";"A.CP_MNAC.PAID.B1N.S2.BR";"A.CP_MNAC.PAID.B1N.S2.CA";"A.CP_MNAC.PAID.B1N.S2.CH";"A.CP_MNAC.PAID.B1N.S2.CL";"A.CP_MNAC.PAID.B1N.S2.CN";"A.CP_MNAC.PAID.B1N.S2.CO";"A.CP_MNAC.PAID.B1N.S2.CR";"A.CP_MNAC.PAID.B1N.S2.CY";"A.CP_MNAC.PAID.B1N.S2.CZ";"A.CP_MNAC.PAID.B1N.S2.DE";"A.CP_MNAC.PAID.B1N.S2.DK";"A.CP_MNAC.PAID.B1N.S2.EA19";"A.CP_MNAC.PAID.B1N.S2.EE";"A.CP_MNAC.PAID.B1N.S2.EL";"A.CP_MNAC.PAID.B1N.S2.ES";"A.CP_MNAC.PAID.B1N.S2.EU28";"A.CP_MNAC.PAID.B1N.S2.FI";"A.CP_MNAC.PAID.B1N.S2.FR";"A.CP_MNAC.PAID.B1N.S2.HR";"A.CP_MNAC.PAID.B1N.S2.HU";"A.CP_MNAC.PAID.B1N.S2.IE";"A.CP_MNAC.PAID.B1N.S2.IL";"A.CP_MNAC.PAID.B1N.S2.IS";"A.CP_MNAC.PAID.B1N.S2.IT";"A.CP_MNAC.PAID.B1N.S2.JP";"A.CP_MNAC.PAID.B1N.S2.KR";"A.CP_MNAC.PAID.B1N.S2.LT";"A.CP_MNAC.PAID.B1N.S2.LU";"A.CP_MNAC.PAID.B1N.S2.LV";"A.CP_MNAC.PAID.B1N.S2.MT";"A.CP_MNAC.PAID.B1N.S2.MX";"A.CP_MNAC.PAID.B1N.S2.NL";"A.CP_MNAC.PAID.B1N.S2.NO";"A.CP_MNAC.PAID.B1N.S2.NZ";"A.CP_MNAC.PAID.B1N.S2.PE";"A.CP_MNAC.PAID.B1N.S2.PL";"A.CP_MNAC.PAID.B1N.S2.PT";"A.CP_MNAC.PAID.B1N.S2.RO";"A.CP_MNAC.PAID.B1N.S2.RS";"A.CP_MNAC.PAID.B1N.S2.RU";"A.CP_MNAC.PAID.B1N.S2.SE";"A.CP_MNAC.PAID.B1N.S2.SI";"A.CP_MNAC.PAID.B1N.S2.SK";"A.CP_MNAC.PAID.B1N.S2.TR";"A.CP_MNAC.PAID.B1N.S2.UK";"A.CP_MNAC.PAID.B1N.S2.US";"A.CP_MNAC.PAID.B1N.S2.ZA"
"1950-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1197;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1951-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1472;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1952-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10840;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1953-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23545;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1650;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1954-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24984;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1955-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27032;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1880;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1956-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29430;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2040;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1957-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31565;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13339;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1958-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32946;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2290;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
