"";"A.CP_MNAC.PAID.B1G.S11.AT";"A.CP_MNAC.PAID.B1G.S11.AU";"A.CP_MNAC.PAID.B1G.S11.BE";"A.CP_MNAC.PAID.B1G.S11.BG";"A.CP_MNAC.PAID.B1G.S11.BR";"A.CP_MNAC.PAID.B1G.S11.CA";"A.CP_MNAC.PAID.B1G.S11.CH";"A.CP_MNAC.PAID.B1G.S11.CL";"A.CP_MNAC.PAID.B1G.S11.CN";"A.CP_MNAC.PAID.B1G.S11.CO";"A.CP_MNAC.PAID.B1G.S11.CR";"A.CP_MNAC.PAID.B1G.S11.CY";"A.CP_MNAC.PAID.B1G.S11.CZ";"A.CP_MNAC.PAID.B1G.S11.DE";"A.CP_MNAC.PAID.B1G.S11.DK";"A.CP_MNAC.PAID.B1G.S11.EA19";"A.CP_MNAC.PAID.B1G.S11.EE";"A.CP_MNAC.PAID.B1G.S11.EL";"A.CP_MNAC.PAID.B1G.S11.ES";"A.CP_MNAC.PAID.B1G.S11.EU28";"A.CP_MNAC.PAID.B1G.S11.FI";"A.CP_MNAC.PAID.B1G.S11.FR";"A.CP_MNAC.PAID.B1G.S11.HR";"A.CP_MNAC.PAID.B1G.S11.HU";"A.CP_MNAC.PAID.B1G.S11.IE";"A.CP_MNAC.PAID.B1G.S11.IL";"A.CP_MNAC.PAID.B1G.S11.IS";"A.CP_MNAC.PAID.B1G.S11.IT";"A.CP_MNAC.PAID.B1G.S11.JP";"A.CP_MNAC.PAID.B1G.S11.KR";"A.CP_MNAC.PAID.B1G.S11.LT";"A.CP_MNAC.PAID.B1G.S11.LU";"A.CP_MNAC.PAID.B1G.S11.LV";"A.CP_MNAC.PAID.B1G.S11.MT";"A.CP_MNAC.PAID.B1G.S11.MX";"A.CP_MNAC.PAID.B1G.S11.NL";"A.CP_MNAC.PAID.B1G.S11.NO";"A.CP_MNAC.PAID.B1G.S11.NZ";"A.CP_MNAC.PAID.B1G.S11.PE";"A.CP_MNAC.PAID.B1G.S11.PL";"A.CP_MNAC.PAID.B1G.S11.PT";"A.CP_MNAC.PAID.B1G.S11.RO";"A.CP_MNAC.PAID.B1G.S11.RS";"A.CP_MNAC.PAID.B1G.S11.RU";"A.CP_MNAC.PAID.B1G.S11.SE";"A.CP_MNAC.PAID.B1G.S11.SI";"A.CP_MNAC.PAID.B1G.S11.SK";"A.CP_MNAC.PAID.B1G.S11.TR";"A.CP_MNAC.PAID.B1G.S11.UK";"A.CP_MNAC.PAID.B1G.S11.US";"A.CP_MNAC.PAID.B1G.S11.ZA";"A.CP_MNAC.PAID.B1G.S12.AT";"A.CP_MNAC.PAID.B1G.S12.AU";"A.CP_MNAC.PAID.B1G.S12.BE";"A.CP_MNAC.PAID.B1G.S12.BG";"A.CP_MNAC.PAID.B1G.S12.BR";"A.CP_MNAC.PAID.B1G.S12.CA";"A.CP_MNAC.PAID.B1G.S12.CH";"A.CP_MNAC.PAID.B1G.S12.CL";"A.CP_MNAC.PAID.B1G.S12.CN";"A.CP_MNAC.PAID.B1G.S12.CO";"A.CP_MNAC.PAID.B1G.S12.CR";"A.CP_MNAC.PAID.B1G.S12.CY";"A.CP_MNAC.PAID.B1G.S12.CZ";"A.CP_MNAC.PAID.B1G.S12.DE";"A.CP_MNAC.PAID.B1G.S12.DK";"A.CP_MNAC.PAID.B1G.S12.EA19";"A.CP_MNAC.PAID.B1G.S12.EE";"A.CP_MNAC.PAID.B1G.S12.EL";"A.CP_MNAC.PAID.B1G.S12.ES";"A.CP_MNAC.PAID.B1G.S12.EU28";"A.CP_MNAC.PAID.B1G.S12.FI";"A.CP_MNAC.PAID.B1G.S12.FR";"A.CP_MNAC.PAID.B1G.S12.HR";"A.CP_MNAC.PAID.B1G.S12.HU";"A.CP_MNAC.PAID.B1G.S12.IE";"A.CP_MNAC.PAID.B1G.S12.IL";"A.CP_MNAC.PAID.B1G.S12.IS";"A.CP_MNAC.PAID.B1G.S12.IT";"A.CP_MNAC.PAID.B1G.S12.JP";"A.CP_MNAC.PAID.B1G.S12.KR";"A.CP_MNAC.PAID.B1G.S12.LT";"A.CP_MNAC.PAID.B1G.S12.LU";"A.CP_MNAC.PAID.B1G.S12.LV";"A.CP_MNAC.PAID.B1G.S12.MT";"A.CP_MNAC.PAID.B1G.S12.MX";"A.CP_MNAC.PAID.B1G.S12.NL";"A.CP_MNAC.PAID.B1G.S12.NO";"A.CP_MNAC.PAID.B1G.S12.NZ";"A.CP_MNAC.PAID.B1G.S12.PE";"A.CP_MNAC.PAID.B1G.S12.PL";"A.CP_MNAC.PAID.B1G.S12.PT";"A.CP_MNAC.PAID.B1G.S12.RO";"A.CP_MNAC.PAID.B1G.S12.RS";"A.CP_MNAC.PAID.B1G.S12.RU";"A.CP_MNAC.PAID.B1G.S12.SE";"A.CP_MNAC.PAID.B1G.S12.SI";"A.CP_MNAC.PAID.B1G.S12.SK";"A.CP_MNAC.PAID.B1G.S12.TR";"A.CP_MNAC.PAID.B1G.S12.UK";"A.CP_MNAC.PAID.B1G.S12.US";"A.CP_MNAC.PAID.B1G.S12.ZA";"A.CP_MNAC.PAID.B1G.S13.AT";"A.CP_MNAC.PAID.B1G.S13.AU";"A.CP_MNAC.PAID.B1G.S13.BE";"A.CP_MNAC.PAID.B1G.S13.BG";"A.CP_MNAC.PAID.B1G.S13.BR";"A.CP_MNAC.PAID.B1G.S13.CA";"A.CP_MNAC.PAID.B1G.S13.CH";"A.CP_MNAC.PAID.B1G.S13.CL";"A.CP_MNAC.PAID.B1G.S13.CN";"A.CP_MNAC.PAID.B1G.S13.CO";"A.CP_MNAC.PAID.B1G.S13.CR";"A.CP_MNAC.PAID.B1G.S13.CY";"A.CP_MNAC.PAID.B1G.S13.CZ";"A.CP_MNAC.PAID.B1G.S13.DE";"A.CP_MNAC.PAID.B1G.S13.DK";"A.CP_MNAC.PAID.B1G.S13.EA19";"A.CP_MNAC.PAID.B1G.S13.EE";"A.CP_MNAC.PAID.B1G.S13.EL";"A.CP_MNAC.PAID.B1G.S13.ES";"A.CP_MNAC.PAID.B1G.S13.EU28";"A.CP_MNAC.PAID.B1G.S13.FI";"A.CP_MNAC.PAID.B1G.S13.FR";"A.CP_MNAC.PAID.B1G.S13.HR";"A.CP_MNAC.PAID.B1G.S13.HU";"A.CP_MNAC.PAID.B1G.S13.IE";"A.CP_MNAC.PAID.B1G.S13.IL";"A.CP_MNAC.PAID.B1G.S13.IS";"A.CP_MNAC.PAID.B1G.S13.IT";"A.CP_MNAC.PAID.B1G.S13.JP";"A.CP_MNAC.PAID.B1G.S13.KR";"A.CP_MNAC.PAID.B1G.S13.LT";"A.CP_MNAC.PAID.B1G.S13.LU";"A.CP_MNAC.PAID.B1G.S13.LV";"A.CP_MNAC.PAID.B1G.S13.MT";"A.CP_MNAC.PAID.B1G.S13.MX";"A.CP_MNAC.PAID.B1G.S13.NL";"A.CP_MNAC.PAID.B1G.S13.NO";"A.CP_MNAC.PAID.B1G.S13.NZ";"A.CP_MNAC.PAID.B1G.S13.PE";"A.CP_MNAC.PAID.B1G.S13.PL";"A.CP_MNAC.PAID.B1G.S13.PT";"A.CP_MNAC.PAID.B1G.S13.RO";"A.CP_MNAC.PAID.B1G.S13.RS";"A.CP_MNAC.PAID.B1G.S13.RU";"A.CP_MNAC.PAID.B1G.S13.SE";"A.CP_MNAC.PAID.B1G.S13.SI";"A.CP_MNAC.PAID.B1G.S13.SK";"A.CP_MNAC.PAID.B1G.S13.TR";"A.CP_MNAC.PAID.B1G.S13.UK";"A.CP_MNAC.PAID.B1G.S13.US";"A.CP_MNAC.PAID.B1G.S13.ZA";"A.CP_MNAC.PAID.B1G.S14_S15.AT";"A.CP_MNAC.PAID.B1G.S14_S15.AU";"A.CP_MNAC.PAID.B1G.S14_S15.BE";"A.CP_MNAC.PAID.B1G.S14_S15.BG";"A.CP_MNAC.PAID.B1G.S14_S15.BR";"A.CP_MNAC.PAID.B1G.S14_S15.CA";"A.CP_MNAC.PAID.B1G.S14_S15.CH";"A.CP_MNAC.PAID.B1G.S14_S15.CL";"A.CP_MNAC.PAID.B1G.S14_S15.CN";"A.CP_MNAC.PAID.B1G.S14_S15.CO";"A.CP_MNAC.PAID.B1G.S14_S15.CR";"A.CP_MNAC.PAID.B1G.S14_S15.CY";"A.CP_MNAC.PAID.B1G.S14_S15.CZ";"A.CP_MNAC.PAID.B1G.S14_S15.DE";"A.CP_MNAC.PAID.B1G.S14_S15.DK";"A.CP_MNAC.PAID.B1G.S14_S15.EA19";"A.CP_MNAC.PAID.B1G.S14_S15.EE";"A.CP_MNAC.PAID.B1G.S14_S15.EL";"A.CP_MNAC.PAID.B1G.S14_S15.ES";"A.CP_MNAC.PAID.B1G.S14_S15.EU28";"A.CP_MNAC.PAID.B1G.S14_S15.FI";"A.CP_MNAC.PAID.B1G.S14_S15.FR";"A.CP_MNAC.PAID.B1G.S14_S15.HR";"A.CP_MNAC.PAID.B1G.S14_S15.HU";"A.CP_MNAC.PAID.B1G.S14_S15.IE";"A.CP_MNAC.PAID.B1G.S14_S15.IL";"A.CP_MNAC.PAID.B1G.S14_S15.IS";"A.CP_MNAC.PAID.B1G.S14_S15.IT";"A.CP_MNAC.PAID.B1G.S14_S15.JP";"A.CP_MNAC.PAID.B1G.S14_S15.KR";"A.CP_MNAC.PAID.B1G.S14_S15.LT";"A.CP_MNAC.PAID.B1G.S14_S15.LU";"A.CP_MNAC.PAID.B1G.S14_S15.LV";"A.CP_MNAC.PAID.B1G.S14_S15.MT";"A.CP_MNAC.PAID.B1G.S14_S15.MX";"A.CP_MNAC.PAID.B1G.S14_S15.NL";"A.CP_MNAC.PAID.B1G.S14_S15.NO";"A.CP_MNAC.PAID.B1G.S14_S15.NZ";"A.CP_MNAC.PAID.B1G.S14_S15.PE";"A.CP_MNAC.PAID.B1G.S14_S15.PL";"A.CP_MNAC.PAID.B1G.S14_S15.PT";"A.CP_MNAC.PAID.B1G.S14_S15.RO";"A.CP_MNAC.PAID.B1G.S14_S15.RS";"A.CP_MNAC.PAID.B1G.S14_S15.RU";"A.CP_MNAC.PAID.B1G.S14_S15.SE";"A.CP_MNAC.PAID.B1G.S14_S15.SI";"A.CP_MNAC.PAID.B1G.S14_S15.SK";"A.CP_MNAC.PAID.B1G.S14_S15.TR";"A.CP_MNAC.PAID.B1G.S14_S15.UK";"A.CP_MNAC.PAID.B1G.S14_S15.US";"A.CP_MNAC.PAID.B1G.S14_S15.ZA";"A.CP_MNAC.PAID.B1G.S2.AT";"A.CP_MNAC.PAID.B1G.S2.AU";"A.CP_MNAC.PAID.B1G.S2.BE";"A.CP_MNAC.PAID.B1G.S2.BG";"A.CP_MNAC.PAID.B1G.S2.BR";"A.CP_MNAC.PAID.B1G.S2.CA";"A.CP_MNAC.PAID.B1G.S2.CH";"A.CP_MNAC.PAID.B1G.S2.CL";"A.CP_MNAC.PAID.B1G.S2.CN";"A.CP_MNAC.PAID.B1G.S2.CO";"A.CP_MNAC.PAID.B1G.S2.CR";"A.CP_MNAC.PAID.B1G.S2.CY";"A.CP_MNAC.PAID.B1G.S2.CZ";"A.CP_MNAC.PAID.B1G.S2.DE";"A.CP_MNAC.PAID.B1G.S2.DK";"A.CP_MNAC.PAID.B1G.S2.EA19";"A.CP_MNAC.PAID.B1G.S2.EE";"A.CP_MNAC.PAID.B1G.S2.EL";"A.CP_MNAC.PAID.B1G.S2.ES";"A.CP_MNAC.PAID.B1G.S2.EU28";"A.CP_MNAC.PAID.B1G.S2.FI";"A.CP_MNAC.PAID.B1G.S2.FR";"A.CP_MNAC.PAID.B1G.S2.HR";"A.CP_MNAC.PAID.B1G.S2.HU";"A.CP_MNAC.PAID.B1G.S2.IE";"A.CP_MNAC.PAID.B1G.S2.IL";"A.CP_MNAC.PAID.B1G.S2.IS";"A.CP_MNAC.PAID.B1G.S2.IT";"A.CP_MNAC.PAID.B1G.S2.JP";"A.CP_MNAC.PAID.B1G.S2.KR";"A.CP_MNAC.PAID.B1G.S2.LT";"A.CP_MNAC.PAID.B1G.S2.LU";"A.CP_MNAC.PAID.B1G.S2.LV";"A.CP_MNAC.PAID.B1G.S2.MT";"A.CP_MNAC.PAID.B1G.S2.MX";"A.CP_MNAC.PAID.B1G.S2.NL";"A.CP_MNAC.PAID.B1G.S2.NO";"A.CP_MNAC.PAID.B1G.S2.NZ";"A.CP_MNAC.PAID.B1G.S2.PE";"A.CP_MNAC.PAID.B1G.S2.PL";"A.CP_MNAC.PAID.B1G.S2.PT";"A.CP_MNAC.PAID.B1G.S2.RO";"A.CP_MNAC.PAID.B1G.S2.RS";"A.CP_MNAC.PAID.B1G.S2.RU";"A.CP_MNAC.PAID.B1G.S2.SE";"A.CP_MNAC.PAID.B1G.S2.SI";"A.CP_MNAC.PAID.B1G.S2.SK";"A.CP_MNAC.PAID.B1G.S2.TR";"A.CP_MNAC.PAID.B1G.S2.UK";"A.CP_MNAC.PAID.B1G.S2.US";"A.CP_MNAC.PAID.B1G.S2.ZA"
"1949-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5033;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;292;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5055;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1950-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;343;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1283;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1640;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5792;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9576;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1951-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10657;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1952-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9055;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1716;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1953-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9327;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2682;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1954-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1884;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1955-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;683;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12643;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1956-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1957-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37398;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;926;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13933;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
